"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","Entry Date","Last Update"
"2011-0301-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Buntalala, Calubihan, Desamparados, Lanit boroughs (Jaro area, Iloilo City area, Iloilo district, Region VI province), Calajunan borough (Manduriao area, Iloilo City area, Iloilo district, Region VI province), Sooc borough (Arevalo area, Iloilo City area, Iloilo district, Region VI province)","Continuous rains","","No","No","No","","","Km2","","","","2011","8","5","2011","8","5","","","2060","","2060","","","2011-08-25","2023-09-25"
"2011-0305-PHL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","PHL","Philippines","South-eastern Asia","Asia","Asinan village (Zambales district, Region III (Central Luzon) province)","Heavy rains","","No","No","No","","","","","","","2011","8","5","2011","8","5","","","310","","310","","","2011-08-08","2023-09-25"
"2011-0324-LAO","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","LAO","Lao People's Democratic Republic","South-eastern Asia","Asia","Savannakhet, Khammouan, Champasak provinces","Tropical storm Nock-Ten, Monsoonal rains","Slide (land, mud, snow, rock)","No","No","No","2016","","Km2","","","","2011","8","1","2011","10","13","34","","430000","","430000","","","2012-04-24","2023-09-25"
"2011-0326-THA","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","THA","Thailand","South-eastern Asia","Asia","Phrae, Mae Hong Son, Sukhothai, Chiang Mai, Tak, Nakhon Pathom, Roi Et, Phichit, Udon Thani, Sakon Nakhon, Uttaradit, Phitsanulok, Kampaeng Phet, Nakhon Sawan, Phetchabun, Nakhon Nayok, Phra Nakhon Si Ayudhya, Kalasin, Ubon Ratchathani, Uthai Thani, Chainat, Singburi, Ang Thong, Lopburi, Saraburi, Suphanburi, Pathum Thani, Nonthaburi, Khon Kaen, Si Saket, Surin, Chachoengsao, Phachinburi, Maha Sarakham, Samut Sakhon provinces","Monsoonal rains, tropical storms","Slide (land, mud, snow, rock)","Yes","No","Yes","23985","96785","Km2","17.038","102.82","","2011","8","5","2012","1","4","813","","9500000","","9500000","40000000","54183838","2012-01-09","2023-09-25"
"2011-0341-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Mina (Nanmadol)","PHL","Philippines","South-eastern Asia","Asia","Quezon City area (Metropolitan Manila district, National Capital region (NCR) province), Zambales, Bulacan districts (Region III (Central Luzon) province), Iloilo district (Region IV (Southern Tagalog) province), Benguet, Abra, Mountain Province districts (Cordillera Administrative region (CAR) province), Catanduanes district (Region V (Bicol region) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Region I (Ilocos region) province","","","No","No","No","","","Kph","","","","2011","8","27","2011","8","29","43","37","403193","","403230","34452","46669","2011-09-07","2023-09-25"
"2011-0359-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","Lao Cai province","","","No","No","No","","","Km2","","","","2011","9","14","2011","9","14","24","","300000","","300000","44000","59602","2011-10-20","2023-09-25"
"2011-0364-KHM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","KHM","Cambodia","South-eastern Asia","Asia","Kandal, Kampong Thom, Prey Veng, Kampong Cham, Kratie, Battambang, Kampong Chhnang, Preah Vihear, Pursat provinces","Heavy rains, tropical storm","","Yes","No","No","20499","13466","Km2","12.004","105.5","Mekong river","2011","8","10","2011","11","1","247","23","1640000","","1640023","521000","705744","2011-11-23","2023-09-25"
"2011-0367-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Landan, Upper Klinan, Klinan 6, Maligo Barangays villages (Polomolok area, South Cotabato district, Region XII province)","","","No","No","No","","","Km2","","","","2011","9","19","2011","9","19","","","274","","274","115","156","2011-09-23","2023-09-25"
"2011-0378-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Quiel (Nalgae)","PHL","Philippines","South-eastern Asia","Asia","Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) provinces","","Slide (land, mud, snow, rock)","No","No","No","","","Kph","","","","2011","10","1","2011","10","1","25","12","1113763","","1113775","2655","3596","2011-10-14","2023-09-25"
"2011-0379-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Pedring (Nesat)","PHL","Philippines","South-eastern Asia","Asia","Mindoro Occidental, Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur, Catanduanes districts (Region V (Bicol region) province), Antique, Iloilo districts (Region VI (Western Visayas) province), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) province","","","No","No","No","1767","","Kph","","","","2011","9","24","2011","9","24","103","91","3030755","","3030846","344173","466215","2011-10-25","2023-09-25"
"2011-0380-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Bobuntogan village (Jasaan area, Misamis Oriental district, Region X province)","","","No","No","No","","","Km2","","","","2011","10","7","2011","10","7","","","185","","185","","","2011-10-11","2023-09-25"
"2011-0384-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Tropical Storm Ramon (Banyan)","PHL","Philippines","South-eastern Asia","Asia","Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Capiz, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Southern Leyte district (Region VIII (Eastern Visayas) province), Misamis Oriental district (Region X (Northern Mindanao) province), South Cotabato district (Region XII (Soccsksargen) province), Dinagat district (Region XIII (Caraga) province)","","","No","No","No","","","Kph","","","","2011","10","13","2011","10","13","11","6","75632","","75638","","","2011-10-13","2023-09-25"
"2011-0389-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Subulussalam city (Aceh Singkil district, Nangroe Aceh Darussalam province)","","","No","No","No","","6.7","Moment Magnitude","2.965","97.893","","2011","9","5","2011","9","5","10","","","","","5850","7924","2014-02-26","2023-09-25"
"2011-0393-PHL","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease","","Diarrhoea ","PHL","Philippines","South-eastern Asia","Asia","Tinoto, Massim (Sarangani province)","Contaminated water supply","","No","No","No","","","","","","","2011","10","11","2011","10","18","3","200","54","","254","","","2011-10-20","2023-09-25"
"2011-0394-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","An Giang, Dong Thap, Long An, Can Tho city, Vinh Long, Hau Giang, Kien Giang provinces","Monsoonla rains exacerbated by 3 tropical storms","","Yes","No","No","3881","","Km2","","","","2011","9","","2011","12","","85","","600000","","600000","175002","237057","2012-02-16","2023-09-25"
"2011-0396-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","Quang Tri, Quang Binh, Thua Thien-Hue, Quang Nam provinces","","","No","No","No","","","Km2","","","","2011","10","21","2011","10","21","13","14","461570","","461584","","","2011-10-24","2023-09-25"
"2011-0400-MMR","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","MMR","Myanmar","South-eastern Asia","Asia","Saw area (Gangaw district, Magway province), Setoktara area (Minbu district, Magway province), Pakokku district (Magway province), Sagaing, Mandalay provinces","Tropical storm 2","Slide (land, mud, snow, rock)","No","No","No","1185","","Km2","","","","2011","10","19","2011","10","21","151","","35734","","35734","1700","2303","2012-04-04","2023-09-25"
"2011-0445-PHL","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","PHL","Philippines","South-eastern Asia","Asia","Valencia area (Bukidnon district, Region X (Northern Mindanao) province)","","","No","No","No","","4.9","Moment Magnitude","7.904","125.195","","2011","11","7","2011","11","7","","3","25","","28","","","2011-11-09","2023-09-25"
"2011-0457-THA","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Dengue","THA","Thailand","South-eastern Asia","Asia","Buriram, Chaiyaphum, Nakhon Ratchasima, Surin","","","No","No","No","","","Vaccinated","","","","2011","9","","2011","9","","27","","37728","","37728","","","2011-11-14","2023-09-25"
"2011-0468-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Cagayan, Isabela districts (Region II province), Aurora district (Region III province), Capiz, Aklan districts (Region VI province)","","Slide (land, mud, snow, rock)","No","No","No","","","Km2","","","","2011","11","14","2011","11","17","5","13","16178","","16191","183","248","2011-11-21","2023-09-25"
"2011-0469-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Carmen, Braulio E. Dujali areas (Davao del Norte district, Region XI province)","Torrential rain","","No","No","No","","3076","Km2","8.085","125.93","","2011","11","9","2011","11","14","","","8610","","8610","178881","242311","2011-12-01","2023-09-25"
"2011-0493-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Nias district (Sumatera Utara province)","Heavy rains","","No","No","No","","","","","","","2011","11","30","2011","11","30","34","","","","","","","2011-12-07","2023-09-25"
"2011-0506-IDN","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Lokon","IDN","Indonesia","South-eastern Asia","Asia","Kota Manado, Kota Tomohon, Minahasa Selatan, Minahasa Utara, Minahasa districts (Sulawesi Utara province)","","","No","No","No","","","","1.358333","124.79","","2011","7","11","2011","7","17","","","","6000","6000","","","2014-07-17","2023-09-25"
"2011-0519-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Tropical storm Washi (Sendong)","PHL","Philippines","South-eastern Asia","Asia","Cagayan district (Region II (Cagayan Valley) province), Negros Oriental, Cebu districts (Region VII (Central Visayas) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province), Misamis Oriental, Lanao del Norte, Bukidnon districts (Region X (Northern Mindanao) province), Compostela district (Region XI (Davao Region) province), Surigao del Sur district (Region XIII (Caraga) province), Lanao del Sur district (Autonomous region in Muslim Mindanao (ARMM) province)","","Flood|Slide (land, mud, snow, rock)","Yes","No","Yes","","","Kph","8.526","124.88","","2011","12","15","2011","12","18","1439","6071","1144229","","1150300","38082","51586","2012-01-12","2023-09-25"
"2011-0540-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Catanduanes district (Region V (Bicol) province), Aklan, Capiz, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Leyte, Southern Leyte districts (Region VIII (Eastern Visayas) province), Bukidnon district (Region X (Northern Mindanao) province), Compostela, Davao del Norte district (Region XI (Davao Region) province), Agusan del Sur, Dinagat, Surigao del Norte, Surigao del Sur districts (Region XIII (Caraga) province)","Low Pressure Area and Tail End of the Cold FRont","","No","No","No","","","Km2","","","","2011","12","25","2011","12","28","12","9","171800","","171809","","","2011-12-29","2023-09-25"
"2011-0542-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Casiguran, Dilasag areas (Aurora district, Region III), Isabela, Cagayan districts (Region II province)","Monsoonal rain","","No","No","No","","","Km2","","","","2011","12","21","2011","12","21","10","","39520","","39520","","","2011-12-28","2023-09-25"
"2011-0545-PHL","No","nat-bio-epi-vir","Natural","Biological","Epidemic","Viral disease","","Dengue","PHL","Philippines","South-eastern Asia","Asia","Cavite, Laguna, Batangas, Rizal, Quezon provinces","","","No","No","No","","","Vaccinated","","","","2011","1","1","2011","8","","33","","6778","","6778","","","2011-12-28","2023-09-25"
"2011-0555-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Chedeng (Songda)","PHL","Philippines","South-eastern Asia","Asia","Taguig city (Metropolitan Manila district, National Capital region (NCR) province), Isabela district (Region II (Cagayan Valley) province), Albay, Camarines Norte, Camarines Sur, Catanduanes, Sorsogon districts (Region V (Bicol region) province), Zamboanga del Sur district (Region IX (Zamboanga Peninsula) province), Bukidnon district (Region X (Northern Mindanao) province), Compostela, Davao del Norte districts (Region XI (Davao Region) province), Lanao del Sur, Maguindanao districts (Autonomous region in Muslim Mindanao (ARMM) province)","","Flood","No","No","No","","","Kph","","","","2011","5","20","2011","5","29","","","446907","","446907","431","584","2011-12-29","2023-09-25"
"2011-0562-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Enrique B. Magalona, Victorias City areas (Negros Occidental district (Region VI province)","Continuous rain","","No","No","No","","","Km2","","","","2011","5","5","2011","5","5","","","30858","","30858","","","2011-12-30","2023-09-25"
"2011-0563-PHL","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease","","Cholera","PHL","Philippines","South-eastern Asia","Asia","Palawan","","","No","No","No","","","","","","","2011","3","1","2011","4","18","20","","563","","563","","","2011-12-30","2023-09-25"
"2011-0564-PHL","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Taal ","PHL","Philippines","South-eastern Asia","Asia","Talisay, San Nicolas, Balete areas (Batangas district, Region IV-A (Calabarzon) province)","","","No","No","No","","","","14.002","120.993","","2011","3","17","2011","4","18","","","1315","","1315","","","2014-07-28","2023-09-25"
"2011-0568-IDN","No","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall","","Mt. Gamalama","IDN","Indonesia","South-eastern Asia","Asia","Kota Ternate district (Maluku Utara province)","","Flood","No","No","No","","","","0.8","127.33","","2011","12","4","2011","12","27","3","5","2368","","2373","","","2012-01-02","2023-09-25"
"2011-0575-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Paniai district (Papua province)","Torrential rain","","No","No","No","","17351","Km2","-4.39","137.83","","2011","4","1","2011","4","10","18","","3000","","3000","","","2012-01-09","2023-09-25"
"2011-0576-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Tropical Storm Haima (Egay)","PHL","Philippines","South-eastern Asia","Asia","Autonomous region in Muslim Mindanao (ARMM), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog) Region IV-A (Calabarzon), Region IX (Zamboanga Peninsula), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces","","","No","No","No","","","Kph","","","","2011","6","14","2011","6","20","","","","","","","","2012-01-05","2023-09-25"
"2011-0576-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Tropical Storm Haima (Egay)","VNM","Viet Nam","South-eastern Asia","Asia","Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai, Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue provinces","","","No","No","No","","","Kph","","","","2011","6","19","2011","6","24","","","","","","","","2012-01-05","2023-09-25"
"2011-0588-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Zamboanga city (Zamboanga Del Sur district, Region IX province)","","","No","No","No","","","Km2","","","","2011","7","20","2011","7","20","","","469","","469","","","2012-01-04","2023-09-25"
"2011-0592-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Compostela district (Region XI province)","","Slide (land, mud, snow, rock)","No","No","No","","","Km2","","","","2011","3","31","2011","3","31","2","","871","","871","","","2012-01-23","2023-09-25"
"2011-0603-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Tieng village (Wonosobo district, Jawa Tengah province)","","","No","No","No","","2457.47","Km2","-7.379","110.24","","2011","12","18","2011","12","22","10","","54","","54","","","2012-01-05","2023-09-25"
"2011-0645-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Paniai district (Papua province)","Heavy rains","","No","No","No","","","Km2","","","Paniai lake","2011","3","17","2011","3","31","13","","","3000","3000","","","2012-04-05","2023-09-25"
"2011-9207-THA","No","nat-cli-dro-dro","Natural","Climatological","Drought","Drought","","","THA","Thailand","South-eastern Asia","Asia","Chians Rai, Nan, Phrae, Loei, Nong Khai, Ubon Ratchathani, Mukdahan, Sakon Nakhon, Si Saket, Surin, Chaiyaphum, Amnat Charoen, Kalasin, Nakhon Ratchasima, Buriram, Yasothon provinces (North); Sukhothai, Phetchabun, Phichit provinces (Central); Prachuap Khilikhan, Phetchaburi, Kanchanaburi provinces (West)","","","No","No","Yes","","","Km2","","","","2011","6","","2011","","","","","","","","","","2011-06-10","2023-09-25"
"2012-0002-PHL","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","PHL","Philippines","South-eastern Asia","Asia","Napnapan village (Compostela district, Region XI (Davao Region) province)","Heavy rains","","No","No","No","","","","","","","2012","1","5","2012","1","5","75","16","7","","23","","","2013-02-04","2023-09-25"
"2012-0009-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Agusan del Sur, Surigao del Sur districts (Region XIII province), Leyte district (Region VIII province), Compostela, Davao del Norte districts (Region XI province), Negros Occidental district (Region VI province), Region IV province","Tail-end of a cold front","","No","No","No","","","Km2","","","","2012","1","17","2012","1","17","4","","88570","","88570","","","2012-07-23","2023-09-25"
"2012-0031-PHL","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","PHL","Philippines","South-eastern Asia","Asia","Tayasan area (Negros Oriental district, Region VII (Central Visayas) province)","","Slide (land, mud, snow, rock)","No","No","No","220","6.7","Moment Magnitude","9.999","123.206","","2012","2","6","2012","2","6","113","112","320165","","320277","8900","11811","2012-02-21","2023-09-25"
"2012-0042-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Jabonga area (Agusan del Norte district, Region XIII province), Kauswagan and Bacolod areas (Lanao del Norte district, Region X province)","Effects of low pressure area","","No","No","No","","","Km2","","","","2012","2","14","2012","2","16","","","569","","569","","","2012-02-16","2023-09-25"
"2012-0078-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Lambayong area (Sultan Kudarat district, Region XII province), Agusan del Norte, Surigao del Norte districts (Region XIII province)","Torrential rain","","No","No","No","","39825.28","Km2","8.22392","125.27","","2012","2","20","2012","2","27","","","25000","","25000","","","2013-02-04","2023-09-25"
"2012-0097-IDN","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","IDN","Indonesia","South-eastern Asia","Asia","Simeulue district (Nangroe Aceh Darussalam province)","","","No","No","No","","8.6","Moment Magnitude","2.327","93.063","","2012","4","11","2012","4","11","7","107","","","107","","","2014-01-15","2023-09-25"
"2012-0171-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Kalamansig area (Sultan Kudarat district, Region XII province)","","","No","No","No","","","Km2","","","","2012","6","11","2012","6","11","","","12300","","12300","","","2012-06-13","2023-09-25"
"2012-0172-PHL","No","nat-hyd-flo-fla","Natural","Hydrological","Flood","Flash flood","","","PHL","Philippines","South-eastern Asia","Asia","Glen area (Saranggani district, Region XII province), Maguindanao district (ARMM province), North Cotabato, Sultan Kudarat districts (Region XII province)","Heavy rains","","No","No","No","","23515.69","Km2","6.873","124.78","","2012","6","9","2012","6","12","1","","700","","700","","","2012-07-05","2023-09-25"
"2012-0201-PHL","No","nat-bio-epi-bac","Natural","Biological","Epidemic","Bacterial disease","","Cholera","PHL","Philippines","South-eastern Asia","Asia","Catanduanes, Camarines Sur, Sorsogon, Albay, Camarines Norte, Masbate provinces (Bicol)","","","No","No","No","","","","","","","2012","1","","2012","7","","30","","3158","","3158","","","2012-07-16","2023-09-25"
"2012-0249-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Kel Karang Panjang, Kel Kudamati villages (Kota Ambon district, Malaku province)","Heavy rains","","No","No","No","","","","","","","2012","5","24","2012","5","27","20","100","115","","215","","","2013-03-27","2023-09-25"
"2012-0250-IDN","No","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)","","","IDN","Indonesia","South-eastern Asia","Asia","Pangradin village (Jasinga sub-district, Bogor district, West Java province)","Heavy rains","","No","No","No","","","","","","","2012","5","24","2012","5","24","12","","","","","","","2012-07-23","2023-09-25"
"2012-0259-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Vicente","VNM","Viet Nam","South-eastern Asia","Asia","Bac Kan, Cao Bang, Ha Giang, Lang Son, Tuyen Quang provinces","","Flood|Slide (land, mud, snow, rock)","No","No","No","","","Kph","","","","2012","7","26","2012","7","27","10","3","","","3","","","2012-08-02","2023-09-25"
"2012-0260-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Tropical storm Gener (Saola)","PHL","Philippines","South-eastern Asia","Asia","Ilocos Sur, Pangasinan districts (Region I (Ilocos region) province), Cagayan district (Region II (Cagayan Valley) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac districts (Region III (Central Luzon) province), Batangas, Cavite, Laguna, Rizal district (Region IV-A (Calabarzon) province), Mindoro Occidental district (Region IV (Southern Tagalog) province), Aklan, Antique, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Lanao del Norte, Misamis Oriental districts (Region X (Northern Mindanao) province), North Cotabato, South Cotabato districts (Region XII (Soccsksargen) province), Benguet, Ifugao, Kalinga, Mountain Province districts (Cordillera Administrative region (CAR) province), National Capital region (NCR) province","","Flood","No","No","No","","150","Kph","","","","2012","7","31","2012","8","7","58","35","949051","","949086","9821","13034","2012-08-13","2023-09-25"
"2012-0266-IDN","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","IDN","Indonesia","South-eastern Asia","Asia","Galala, Lateri, Passo, Laha, Tawiri, South Leitimur, Batu Gajah, Mangga Dua, Karang Panjang, Batu Merah, Kebun Cengkeh, Ahuru villages (Kota Ambon district, Maluku province)","","Slide (land, mud, snow, rock)","Yes","No","No","","","Km2","","","","2012","7","24","2012","7","24","8","","625","","625","","","2013-02-05","2023-09-25"
"2012-0272-PHL","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","PHL","Philippines","South-eastern Asia","Asia","Metropolitan Manila district (National Capital region (NCR) province), Ilocos Sur, La Union, Pangasinan districts (Region I (Ilocos Region) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales districts (Region III (Central Luzon) province), Batangas, Cavite, Laguna, Rizal districts (Region IV-A (Calabarzon) province), Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Iloilo district (Region VI (Western Visayas) province)","Monsoonal rain enhnaced by Typhoon Haikui and Saola","","Yes","No","Yes","","","Km2","","","","2012","8","6","2012","8","8","112","14","4451711","","4451725","72330","95992","2012-08-21","2023-09-25"
"2012-0294-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","TYphoon Kai-Tak","PHL","Philippines","South-eastern Asia","Asia","Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) provinces","","","No","No","No","","","Kph","","","","2012","8","17","2012","8","17","4","","","","","3000","3981","2012-08-20","2023-09-25"
"2012-0294-VNM","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","TYphoon Kai-Tak","VNM","Viet Nam","South-eastern Asia","Asia","Yen Bai, Vinh Phuc, Quang Ninh, Hai Phong City provinces","","Slide (land, mud, snow, rock)","No","No","No","","","Kph","","","","2012","8","17","2012","8","17","17","14","59320","1145","60479","6800","9025","2012-08-20","2023-09-25"
"2012-0296-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Igme (Tembin)","PHL","Philippines","South-eastern Asia","Asia","La Union district (Region I (Ilocos region) province)","","Flood","No","No","No","","165","Kph","","","","2012","8","20","2012","8","21","11","1","5606","","5607","99","131","2012-08-21","2023-09-25"
"2012-0319-MMR","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","MMR","Myanmar","South-eastern Asia","Asia","Kawkareik, Kya-in-Seikkyi, Hpa-an areas (Kawkareik district, Kayin province)","Monsoonal rains","","No","No","No","","219814","Km2","16.5919","97.85","Salaween, Darka rivers","2012","7","15","2012","8","29","2","","85000","","85000","","","2012-11-22","2023-09-25"
"2012-0321-PHL","No","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement","","","PHL","Philippines","South-eastern Asia","Asia","Valencia, Maramag areas (Bukidnon district, Region X (Northern Mindanao) province)","","","No","No","No","","5.7","Moment Magnitude","7.905","125.044","","2012","9","4","2012","9","4","","1","4000","","4001","","","2012-09-06","2023-09-25"
"2012-0351-VNM","No","nat-hyd-flo-riv","Natural","Hydrological","Flood","Riverine flood","","","VNM","Viet Nam","South-eastern Asia","Asia","Ninh Binh, Ha Tinh, Thanh Hoa, Nghe An provinces","Torrential rain","","No","No","No","","24179","Km2","38.19","126.24","","2012","9","2","2012","9","11","34","40","","17500","17540","30000","39814","2013-01-04","2023-09-25"
"2012-0374-PHL","No","nat-met-sto-tro","Natural","Meteorological","Storm","Tropical cyclone","","Typhoon Lawin (Jelawat)","PHL","Philippines","South-eastern Asia","Asia","Muntinlupa city (Metropolitan Manila district, National Capital region (NCR) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province)","","Flood","No","No","No","","210","Kph","","","","2012","9","21","2012","9","24","4","","7921","","7921","","","2012-09-24","2023-09-25"
